alpha,k,MSE
0.15677110305248532,36.72010972822981,30387.398046185484
0.01833770239785537,78.56989436727557,65878.35442635062
0.19907260526257453,203.31551475587133,2859.3739190461697
0.8550817762494654,451.562399353915,330859.54208771756
0.9324225484799761,311.4847208544405,367143.8012814101
0.9710299233959526,63.19154528806115,305608.99356674595
0.5389527763727607,196.93280511009732,128605.4744470033
0.9331835720965179,386.4561626544949,373693.1657810715
0.9582954705066812,277.27264789680726,378082.6497418901
0.8348786557700862,6.4801418855819914,236967.37561239573
0.6539875495389917,95.10224299714653,175679.8777048266
0.39923101339850586,391.0206805125926,61453.376524074316
0.6831048533466829,387.2019555230521,222956.91792917522
0.9246097661352112,488.5346467585064,374167.0453471674
0.6793360776663663,106.5830970984219,191550.82509563147
0.9753350429864198,396.66552734839195,398810.84680388373
0.9625102334268789,273.11997609192355,379927.6895437732
0.36036066718638327,303.6117592912624,43365.55596989323
0.36633383780467554,58.3259898918147,50608.35944521137
0.5185145306839195,237.56147001907775,119671.95328200128
0.953345228075665,440.3123321068098,388739.20971559756
0.24517072252195982,344.77139820288323,8372.55040666532
0.4761102360652195,176.13867322566128,94503.25072403283
0.015881400687910552,306.65815709609365,25598.050198611247
0.491300802666609,422.9077200169836,109665.24985039374
0.4945492680069893,400.11018419406975,111087.34107104196
0.12135952353069246,449.6762122652236,14842.77915558306
0.8930363099195172,358.7148566095419,348223.30383412144
0.37795856945143236,255.37905360732333,50315.13534684483
0.7172167748720057,486.4595565417728,247440.8316378732
0.2402661662129626,243.918948495551,7323.919181834466
0.027790146373289804,110.78188496132424,29879.264938073047
0.24609914139276634,361.82258617048404,8581.536577327366
0.20298887635414742,54.65658515182786,16003.819415043137
0.811218022609856,237.4417232027417,288874.7967953714
0.7031697042667356,388.67946451287713,235317.4873663564
0.9807638612766959,108.21162913278137,344889.1410754996
0.6516184507645103,379.2850846647887,203397.54305257904
0.6005867963090188,477.59068521041155,175063.8993995643
0.034815662142142934,400.9604063113001,38948.56332467882
0.34590991262329485,108.80704789549628,37443.0913708945
0.9779887792375843,378.3028865605384,399025.7305775399
0.6816968092812121,191.97363562361036,208288.34119990788
0.25572395388647207,39.793772833497556,34686.185099742506
0.5922084215138533,264.528253071671,162682.51164079647
0.6793368955375724,75.86261973708652,182186.72462729685
0.4282324994870216,394.5488020886137,75732.7970267841
0.9714081805390279,33.02402081390326,265653.94684203994
0.2596650805234729,429.34477769518674,11371.062624077385
0.6578653987381894,230.5357060602709,198549.13865363854
